,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
경기,남양주,화도읍,99.10,28,666,666,0.5,0.3,1.1,2019020622,,,0.4,1.0,201902221902,,
경기,용인,김량장동,99.10,28,672,666,0.5,0.3,1.1,2019022209,,,0.5,0.9,201902210310,,
경기,용인,수지,99.40,28,672,668,0.7,0.4,1.3,2019022211,,,0.5,1.1,201902210108,,
경기,용인,기흥,60.41,17,403,406,0.6*,0.2,1.2,2019022109,,,0.6,1.0,201902210209,,
경기,김포,사우동,99.70,28,672,670,0.6,0.3,1.5,2019022401,,,0.4,1.2,201902240108,,
경기,김포,고촌읍,99.10,28,672,666,0.3,0.1,0.9,2019022108,,,0.2,0.7,201902060310,,
경기,김포,통진읍,99.55,28,672,669,0.6,0.3,1.5,2019022108,,,0.5,1.0,201902020108,,
경기,오산,오산동,98.51,28,660,662,0.6,0.3,1.3,2019022209,,,0.5,1.1,201902220411,,
경기,하남,신장동,98.80,28,672,664,0.7,0.3,1.3,2019022110,,,0.6,1.1,201902210108,,
경기,화성,남양읍,95.98,26,647,645,0.5,0.2,1.3,2019022709,,,0.2,0.9,201902201724,,
경기,화성,향남,98.95,28,666,665,0.6,0.4,1.4,2019020123,,,0.5,1.1,201902210310,,
경기,화성,동탄동,98.95,28,660,665,0.5,0.2,1.0,2019022109,,,0.4,0.9,201902210108,,
경기,화성,우정읍,98.51,28,658,662,0.6,0.3,1.2,2019022109,,,0.5,0.9,201902120108,,
경기,화성,청계동,98.80,28,660,664,0.6,0.4,1.1,2019022110,,,0.5,0.9,201902210209,,
경기,양주,백석읍,98.95,28,666,665,0.5,0.2,1.3,2019022110,,,0.3,1.1,201902210310,,
경기,양주,고읍,99.55,28,672,669,0.5,0.2,1.6,2019022110,,,0.4,1.2,201902210310,,
경기,동두천,보산동,99.55,28,672,669,0.5,0.2,1.4,2019020110,,,0.3,1.1,201902020108,,
경기,안성,봉산동,99.40,28,672,668,0.6,0.3,1.1,2019020702,,,0.5,1.0,201902131801,,
경기,이천,창전동,99.55,28,672,669,0.7,0.3,1.4,2019022209,,,0.6,1.2,201902211724,,
경기,이천,장호원읍,99.40,28,667,668,0.5,0.2,0.9,2019022108,,,0.4,0.9,201902220108,,
경기,파주,금촌동,99.10,28,672,666,0.7,0.3,1.6,2019022107,,,0.6,1.4,201902210108,,
경기,파주,운정,99.40,28,672,668,0.6,0.3,1.6,2019022106,,,0.5,1.4,201902210108,,
경기,포천,선단동,99.10,28,672,666,0.7,0.2,1.9,2019022108,,,0.4,1.6,201902210108,,
경기,포천,일동면,99.10,28,672,666,0.7,0.4,1.2,2019022103,,,0.5,1.1,201902210108,,
경기,여주,여주,99.55,28,672,669,0.7,0.4,1.8,2019021303,,,0.6,1.2,201902130108,,
경기,연천,연천,99.55,28,672,669,0.5,0.3,1.0,2019020223,,,0.4,0.8,201902031801,,
경기,가평,가평읍,95.83,26,643,644,0.6,0.2,1.0,2019020701,,,0.5,0.8,201902030310,,
경기,양평,양평,98.95,28,672,665,0.6,0.2,1.0,2019020705,,,0.5,0.9,201902220108,,
강원,양구,양구읍,61.16,17,410,411,0.6*,0.2,1.3,2019022109,,,0.6,1.1,201902210310,,
강원,고성,상리,99.40,28,672,668,0.4,0.2,0.9,2019021224,,,0.3,0.8,201902220108,,
강원,정선,정선읍사무소,99.25,28,666,667,0.5,0.2,1.1,2019020310,,,0.5,0.9,201902030613,,
강원,횡성,횡성군,76.04,21,510,511,0.6,0.1,1.1,2019022210,,,0.4,1.3,201902011902,,
강원,춘천,중앙로,98.95,28,666,665,0.6,0.2,1.3,2019020701,,,0.5,1.0,201902220108,,
강원,춘천,석사동,98.95,28,666,665,0.7,0.2,1.6,2019020622,,,0.7,1.3,201902032003,,
