  3.1.5 측정소별 대기오염도 (2019년 5월),,,,,,,,,,,,,,,,,
     - SO2 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,24시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
경기,의왕,부곡3동,131222,99.32,31,739,0.004,0.002,0.014,2019052501,,,0.002,0.007,20190511,,
경기,의왕,고천동,131223,99.32,31,739,0.004,0.002,0.012,2019052309,,,0.002,0.005,20190503,,
경기,고양,행신동,131381,99.59,31,741,0.004,0.002,0.022,2019052421,,,0.002,0.008,20190504,,
경기,고양,식사동,131382,97.71,30,727,0.004,0.002,0.012,2019050422,,,0.003,0.006,20190523,,
경기,고양,신원동,131384,99.46,31,740,0.004,0.002,0.010,2019051418,,,0.002,0.005,20190503,,
경기,고양,주엽동,131385,98.65,31,734,0.004,0.002,0.018,2019050322,,,0.002,0.007,20190503,,
경기,광주,경안동,131392,99.05,31,737,0.007,0.002,0.097,2019050503,,,0.003,0.019,20190511,,
경기,군포,당동,131501,99.46,31,740,0.004,0.002,0.014,2019051223,,,0.002,0.006,20190512,,
경기,군포,산본동,131502,99.59,31,741,0.005,0.003,0.012,2019050318,,,0.004,0.007,20190503,,
경기,시흥,정왕동,131231,99.05,31,737,0.007,0.003,0.114,2019051104,,,0.003,0.015,20190505,,
경기,시흥,시화산단,131232,99.46,31,740,0.008,0.000,0.097,2019052307,,,0.003,0.024,20190523,,
경기,시흥,대야동,131233,90.59,28,674,0.004,0.002,0.019,2019050402,,,0.002,0.007,20190504,,
경기,부천,소사본동,831151,99.05,31,737,0.005,0.003,0.019,2019051105,,,0.003,0.008,20190511,,
경기,부천,내동,831152,99.19,31,738,0.006,0.003,0.014,2019051304,,,0.003,0.008,20190504,,
경기,부천,중2동,831153,98.79,31,735,0.006,0.003,0.015,2019051305,,,0.003,0.009,20190504,,
경기,부천,오정동,831154,99.46,31,740,0.006,0.002,0.015,2019051007,,,0.004,0.009,20190511,,
경기,남양주,금곡동,131241,99.32,31,739,0.003,0.002,0.008,2019051419,,,0.002,0.004,20190503,,
경기,남양주,오남읍,131242,98.92,31,736,0.003,0.002,0.009,2019051420,,,0.002,0.005,20190523,,
경기,남양주,별내동,131243,99.32,31,739,0.004,0.003,0.011,2019051419,,,0.003,0.005,20190503,,
경기,남양주,화도읍,131244,99.32,31,739,0.004,0.003,0.010,2019051419,,,0.003,0.005,20190503,,
경기,용인,김량장동,131411,98.92,31,736,0.003,0.002,0.009,2019050818,,,0.002,0.005,20190503,,
경기,용인,수지,131412,94.62,29,704,0.003,0.002,0.008,2019050318,,,0.002,0.005,20190503,,
경기,용인,기흥,131413,99.19,31,738,0.004,0.002,0.010,2019050321,,,0.002,0.005,20190503,,
경기,용인,모현읍,131415,95.29,29,709,0.003,0.001,0.024,2019052408,,,0.001,0.005,20190524,,
경기,용인,이동읍,131416,95.29,29,709,0.002,0.001,0.010,2019050308,,,0.001,0.005,20190503,,
경기,용인,백암면,131417,95.83,29,713,0.002,0.001,0.010,2019050322,,,0.001,0.004,20190521,,
경기,김포,사우동,131471,99.46,31,740,0.005,0.002,0.025,2019052319,,,0.003,0.009,20190523,,
경기,김포,고촌읍,131472,99.59,31,741,0.005,0.003,0.033,2019052420,,,0.003,0.009,20190524,,
경기,김포,통진읍,131473,95.16,29,708,0.004,0.002,0.018,2019050410,,,0.003,0.006,20190503,,
경기,오산,오산동,131531,98.79,31,735,0.004,0.002,0.010,2019051221,,,0.002,0.005,20190517,,
경기,하남,신장동,131541,98.79,31,735,0.004,0.002,0.012,2019052918,,,0.003,0.006,20190503,,
경기,화성,남양읍,131551,99.46,31,740,0.005,0.003,0.015,2019050314,,,0.003,0.006,20190503,,
경기,화성,향남,131552,99.59,31,741,0.005,0.003,0.018,2019050712,,,0.004,0.007,20190503,,
경기,화성,동탄동,131553,99.32,31,739,0.006,0.003,0.013,2019050817,,,0.004,0.007,20190503,,
경기,화성,우정읍,131554,99.19,31,738,0.006,0.003,0.024,2019052220,,,0.003,0.009,20190522,,
경기,화성,청계동,131555,99.32,31,739,0.006,0.004,0.012,2019050818,,,0.004,0.007,20190508,,
경기,양주,백석읍,131561,99.19,31,738,0.004,0.002,0.009,2019050316,,,0.003,0.005,20190503,,
경기,양주,고읍,131562,98.79,31,735,0.004,0.002,0.009,2019052119,,,0.003,0.005,20190503,,
경기,동두천,보산동,131571,99.05,31,737,0.004,0.003,0.008,2019050320,,,0.003,0.005,20190503,,
경기,안성,봉산동,131581,99.19,31,738,0.003,0.001,0.013,2019050320,,,0.001,0.005,20190503,,
