     - PM2.5 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,측정소코드,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
시간
(hour)","월평균
(㎍/㎥)","황사제외 
월평균
(㎍/㎥)",24시간치,,,,,,,,
,,,,,,,,,"최저
(㎍/㎥)","최고
(㎍/㎥)",최고일,기준초과(회),초과율(%),,,,
,,,,,,,,,,,,,,,,,
강원,정선,정선읍사무소,632372,98.88,30,712,17,16,3,54,20191101,1,3.33,,,,
강원,횡성,횡성군,632432,96.52,29,695,24,23,8,51,20191101,4,13.33,,,,
강원,춘천,중앙로,132112,96.94,30,698,21,21,6,49,20191101,2,6.66,,,,
강원,춘천,석사동,132113,97.50,30,702,20,19,8,43,20191101,2,6.66,,,,
강원,강릉,옥천동,632132,0.00,0,0,,,,,,,,,,,
강원,원주,중앙동,632121,89.02,27,641,23,23,3,52,20191101,5,16.66,,,,
강원,원주,반곡동,632122,66.25,19,477,26*,24*,7,58,20191101,3,10.00,,,,
강원,원주,문막읍,632124,98.88,30,712,21,20,7,38,20191101,1,3.33,,,,
강원,동해,천곡동,632151,65.69,20,473,15*,14*,7,32,20191101,,,,,,
강원,삼척,남양동,632161,97.91,30,705,10,10,3,30,20191101,,,,,,
강원,평창,평창읍,632171,99.16,30,714,20,19,7,48,20191101,2,6.66,,,,
강원,양양,양양군,632451,91.11,28,656,13,12,3,27,20191102,,,,,,
강원,속초,속초시,632461,99.30,30,715,9,8,1,27,20191101,,,,,,
강원,영월,영월읍,632491,90.69,29,653,26,25,9,50,20191101,7,23.33,,,,
강원,철원,철원군,632472,96.38,30,694,23,22,7,49,20191101,2,6.66,,,,
강원,홍천,홍천읍,632481,92.08,29,663,26,26,12,45,20191102,4,13.33,,,,
강원,화천,화천군,632501,75.83,18,546,17,17,9,33,20191107,,,,,,
강원,태백,태백시,632511,90.69,27,653,20,19,9,46,20191101,2,6.66,,,,
강원,인제,인제군,632521,89.16,27,642,15,14,6,38,20191101,1,3.33,,,,
충북,괴산,괴산읍,633362,93.75,28,675,33,33,16,57,20191102,10,33.33,,,,
충북,음성,음성읍,633462,92.50,28,666,33,34,17,61,20191101,10,33.33,,,,
충북,청주,송정동,533112,98.75,30,711,29,29,13,52,20191102,6,20.00,,,,
충북,청주,사천동,533113,97.50,30,702,30,31,12,54,20191102,8,26.66,,,,
충북,청주,문화동,533114,0.00,0,0,,,,,,,,,,,
충북,청주,용암동,533115,97.77,30,704,26,26,12,48,20191103,4,13.33,,,,
충북,청주,오창읍,633211,90.00,25,648,25,25,9,50,20191103,4,13.33,,,,
충북,청주,산남동,633213,99.58,30,717,27,27,10,53,20191103,4,13.33,,,,
충북,청주,오송읍,633214,99.30,30,715,28,28,8,56,20191103,5,16.66,,,,
충북,충주,호암동,633122,99.72,30,718,22,22,3,44,20191101,3,10.00,,,,
충북,충주,칠금동,633123,99.72,30,718,27,27,7,52,20191102,8,26.66,,,,
충북,제천,장락동,633131,98.33,30,708,27,28,10,51,20191101,6,20.00,,,,
충북,단양,매포읍,633311,99.30,30,715,32,33,10,76,20191106,11,36.66,,,,
충북,진천,진천읍,633411,98.47,29,709,28,29,11,52,20191103,5,16.66,,,,
충북,옥천,옥천읍,634111,94.72,27,682,28,29,13,53,20191103,4,13.33,,,,
충북,영동,영동읍,633471,98.05,30,706,22,22,8,42,20191101,4,13.33,,,,
충북,증평,증평읍,633481,90.83,26,654,35,36,14,61,20191102,11,36.66,,,,
충북,보은,보은읍,633491,98.88,30,712,24,25,10,43,20191102,5,16.66,,,,
충남,천안,성황동,534111,98.88,30,712,27,27,8,67,20191103,4,13.33,,,,
충남,천안,백석동,534112,96.94,30,698,19,18,7,35,20191103,,,,,,
충남,천안,성거읍,534115,73.05,22,526,32*,32*,10,71,20191103,9,30.00,,,,
충남,당진,송산면,534433,97.08,29,699,31,31,16,59,20191103,8,26.66,,,,
충남,당진,당진시청사,534434,98.19,30,707,27,27,9,62,20191103,5,16.66,,,,
충남,서산,독곶리,534421,97.36,30,701,19,19,7,35,20191117,,,,,,
충남,서산,동문동,534422,93.88,29,676,21,21,5,50,20191116,2,6.66,,,,
충남,서산,대산리,534423,97.91,30,705,19,19,9,35,20191117,,,,,,
충남,아산,모종동,534441,98.75,30,711,31,31,14,72,20191103,10,33.33,,,,
충남,아산,배방읍,534442,99.02,30,713,26,26,8,67,20191103,4,13.33,,,,
충남,아산,도고면,534443,98.33,30,708,32,33,14,80,20191103,9,30.00,,,,
충남,아산,둔포면,534444,95.27,28,686,36,36,15,73,20191103,14,46.66,,,,
충남,아산,인주면,534445,99.02,30,713,32,32,13,72,20191103,11,36.66,,,,
충남,논산,논산,534451,96.52,29,695,19,19,8,37,20191102,2,6.66,,,,
충남,태안,이원면,534462,94.16,29,678,15,15,6,26,20191116,,,,,,
충남,태안,태안읍,534463,97.77,30,704,18,18,8,34,20191116,,,,,,
충남,보령,대천2동,534481,96.80,30,697,21,20,7,38,20191103,2,6.66,,,,
충남,보령,주교면,534482,91.80,27,661,28,29,9,47,20191103,10,33.33,,,,
충남,홍성,홍성읍,534491,97.91,30,705,29,29,12,59,20191103,6,20.00,,,,
충남,홍성,내포,534492,93.75,28,675,22,22,8,48,20191103,2,6.66,,,,
충남,공주,공주,534342,95.00,28,684,25,25,11,49,20191103,4,13.33,,,,
충남,부여,부여읍,534411,98.47,30,709,21,21,8,38,20191102,1,3.33,,,,
충남,청양,청양읍,534502,96.25,30,693,25,25,10,42,20191103,1,3.33,,,,
충남,금산,금산읍,534501,99.02,30,713,29,29,14,52,20191103,3,10.00,,,,
충남,예산,예산군,534471,98.05,30,706,26,26,9,60,20191103,3,10.00,,,,
충남,계룡,엄사면,534510,95.13,28,685,20,19,6,35,20191101,,,,,,
충남,서천,서천읍,735520,93.75,27,675,24,24,11,37,20191110,2,6.66,,,,
충남,서천,서면,735521,95.41,28,687,19,19,8,35,20191102,,,,,,
충남,서천,장항읍,735522,97.91,30,705,19,19,8,36,20191102,1,3.33,,,,
전북,임실,임실읍,735361,91.94,27,662,24,23,10,40,20191101,3,10.00,,,,
전북,전주,삼천동,735111,99.72,30,718,28,27,14,47,20191103,6,20.00,,,,
전북,전주,팔복동,735114,99.58,30,717,27,27,10,50,20191103,7,23.33,,,,
전북,전주,중앙동,335115,98.75,30,711,34,34,20,53,20191101,9,30.00,,,,
전북,전주,송천동,735115,100.00,30,720,29,29,14,48,20191101,6,20.00,,,,
전북,군산,신풍동,735121,99.02,30,713,20,19,8,39,20191101,3,10.00,,,,
전북,군산,소룡동*,735122,99.30,30,715,25,25,10,43,20191101,4,13.33,,,,
전북,군산,개정동,735123,99.30,30,715,20,20,7,40,20191110,1,3.33,,,,
전북,익산,남중동,735132,98.19,30,707,25,25,11,42,20191101,4,13.33,,,,
전북,익산,팔봉동,735133,92.22,27,664,32,32,12,55,20191103,9,30.00,,,,
전북,익산,모현동,735134,99.16,30,714,29,29,10,51,20191102,7,23.33,,,,
전북,남원,죽항동,735151,99.02,30,713,20,20,9,35,20191101,,,,,,
전북,정읍,연지동,735141,100.00,30,720,18,18,7,35,20191103,,,,,,
전북,정읍,신태인,735142,99.72,30,718,26,26,9,49,20191103,3,10.00,,,,
전북,고창,고창읍,735161,98.19,30,707,15,14,5,32,20191101,,,,,,
전북,고창,심원면,735162,98.47,30,709,14,13,6,31,20191101,,,,,,
전북,부안,부안읍,735171,99.58,30,717,26,26,11,42,20191102,6,20.00,,,,
전북,김제,요촌동,735181,99.16,30,714,28,28,12,50,20191103,7,23.33,,,,
전북,완주,고산면,735191,94.86,28,683,18,18,5,35,20191102,,,,,,
전북,진안,진안읍,735201,95.83,28,690,21,21,9,36,20191102,1,3.33,,,,
전북,무주,무주읍,735371,98.47,30,709,16,16,5,30,20191101,,,,,,
전북,순창,순창읍,735381,99.44,30,716,20,19,9,38,20191101,2,6.66,,,,
전북,장수,장수읍,735391,97.50,29,702,23,23,11,40,20191102,4,13.33,,,,
전남,화순,화순읍,336452,95.83,30,690,15,14,4,36,20191101,1,3.33,,,,
전남,여수,서강동*,336121,99.86,30,719,13,12,5,40,20191101,1,3.33,,,,
