,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
경기,하남,신장동,131541,92.87,28,694,691,0.4,0.2,0.7,2019082224,,,0.2,0.7,201908230108,,
경기,화성,남양읍,131551,99.05,31,738,737,0.4,0.2,0.7,2019082208,,,0.2,0.6,201908220108,,
경기,화성,향남,131552,99.32,31,744,739,0.3,0.2,0.8,2019080412,,,0.2,0.6,201908231902,,
경기,화성,동탄동,131553,89.24,26,652,664,0.4,0.1,0.8,2019082814,,,0.2,0.7,201908270108,,
경기,화성,우정읍,131554,99.46,31,744,740,0.5,0.3,0.8,2019081408,,,0.4,0.7,201908220209,,
경기,화성,청계동,131555,99.46,31,744,740,0.4,0.3,0.8,2019082223,,,0.3,0.7,201908230108,,
경기,양주,백석읍,131561,95.83,29,712,713,0.3,0.2,0.6,2019081623,,,0.2,0.5,201908172205,,
경기,양주,고읍,131562,99.46,31,744,740,0.3,0.2,0.6,2019082306,,,0.2,0.5,201908230108,,
경기,동두천,보산동,131571,99.46,31,744,740,0.3,0.2,0.8,2019081911,,,0.2,0.6,201908230108,,
경기,안성,봉산동,131581,98.79,31,738,735,0.6,0.3,1.0,2019081822,,,0.4,0.9,201908191801,,
경기,이천,창전동,131442,96.10,29,714,715,0.4,0.2,0.7,2019082301,,,0.3,0.6,201908230108,,
경기,이천,장호원읍,131443,99.32,31,744,739,0.4,0.2,0.7,2019082305,,,0.3,0.6,201908230108,,
경기,파주,금촌동,131371,99.19,31,744,738,0.6,0.3,1.0,2019081623,,,0.5,0.9,201908230108,,
경기,파주,운정,131372,99.32,31,744,739,0.4,0.2,0.8,2019081623,,,0.3,0.5,201908041724,,
경기,포천,선단동,131453,98.79,31,738,735,0.3,0.2,0.7,2019081624,,,0.2,0.6,201908230108,,
경기,포천,일동면,131454,98.92,31,744,736,0.3,0.2,0.6,2019081701,,,0.2,0.5,201908170108,,
경기,여주,여주,131591,99.32,31,744,739,0.4,0.2,0.6,2019082302,,,0.3,0.6,201908230108,,
경기,연천,연천,131601,96.90,29,718,721,0.3,0.2,0.5,2019081701,,,0.2,0.5,201908230310,,
경기,가평,가평읍,131611,98.25,31,738,731,0.3,0.1,0.5,2019081616,,,0.2,0.5,201908170108,,
경기,양평,양평,131621,99.32,31,744,739,0.4,0.3,0.7,2019082308,,,0.4,0.6,201908170108,,
강원,양구,양구읍,132402,99.05,31,744,737,0.5,0.3,0.7,2019081703,,,0.4,0.6,201908060108,,
강원,고성,상리,632441,99.32,31,744,739,0.3,0.2,0.5,2019080312,,,0.3,0.4,201908010108,,
강원,정선,정선읍사무소,632372,99.46,31,744,740,0.4,0.2,0.6,2019081703,,,0.4,0.5,201908031902,,
