     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
경기,구리,동구동,99 ,31 ,744 ,739 ,1 ,0 ,2 ,2019011502 ,,,0 ,1 ,201901152003 ,,
경기,의왕,부곡3동,99 ,31 ,744 ,736 ,1 ,0 ,2 ,2019012310 ,,,0 ,2 ,201901120310 ,,
경기,의왕,고천동,99 ,31 ,740 ,735 ,1 ,0 ,2 ,2019011904 ,,,0 ,2 ,201901192104 ,,
경기,고양,행신동,99 ,31 ,744 ,739 ,1 ,0 ,2 ,2019012310 ,,,1 ,2 ,201901152003 ,,
경기,고양,식사동,100 ,31 ,744 ,741 ,1 ,0 ,1 ,2019011502 ,,,0 ,1 ,201901140916 ,,
경기,고양,신원동,99 ,31 ,736 ,734 ,1 ,0 ,2 ,2019010501 ,,,0 ,2 ,201901050108 ,,
경기,고양,주엽동,99 ,31 ,737 ,736 ,1 ,0 ,2 ,2019011903 ,,,0 ,2 ,201901190108 ,,
경기,광주,경안동,99 ,31 ,744 ,737 ,1 ,0 ,2 ,2019011410 ,,,1 ,2 ,201901140310 ,,
  '' 농도값''의 값은 자료 획득률이 50% 이상이나 75% 미만인 도시의 월평균 값임.                              '' 농도값''''의 값은 자료 획득률이 50% 미만인 도시의 월평균 값임.,,,,,,,,,,,,,,,,,
  '' 전남 중동 측정소는 장비교체,,,,,,,,,  '' 경북 남문동 측정소는 측정소 이전으로 인한 시험가동,,,,,,,,
  '' 경남 가음정동 측정소는 측정소 이전으로 인한 시험가동,,,,,,,,,  '' 강원 양구 측정소는 베이스라인 이상으로 자료 삭제,,,,,,,,
경기,군포,당동,99 ,31 ,738 ,735 ,1 ,0 ,2 ,2019011409 ,,,1 ,2 ,201901120209 ,,
경기,군포,산본동,99 ,31 ,736 ,737 ,1 ,0 ,2 ,2019011409 ,,,0 ,1 ,201901140411 ,,
경기,시흥,정왕동,82 ,24 ,605 ,613 ,1 ,0 ,2 ,2019011408 ,,,0 ,2 ,201901140108 ,,
경기,시흥,시화산단,99 ,31 ,744 ,738 ,1 ,0 ,2 ,2019012309 ,,,1 ,2 ,201901140108 ,,
경기,시흥,대야동,96 ,29 ,717 ,715 ,1 ,0 ,2 ,2019011408 ,,,1 ,2 ,201901140411 ,,
경기,부천,소사본동,99 ,31 ,744 ,738 ,1 ,0 ,2 ,2019011409 ,,,0 ,2 ,201901140411 ,,
경기,부천,내동,99 ,31 ,738 ,736 ,1 ,0 ,2 ,2019011412 ,,,0 ,1 ,201901140512 ,,
경기,부천,중2동,99 ,31 ,744 ,738 ,1 ,0 ,2 ,2019012309 ,,,1 ,2 ,201901140512 ,,
경기,부천,오정동,100 ,31 ,744 ,741 ,1 ,0 ,2 ,2019012308 ,,,1 ,2 ,201901190209 ,,
경기,남양주,금곡동,98 ,31 ,734 ,729 ,1 ,0 ,2 ,2019011421 ,,,1 ,2 ,201901151801 ,,
경기,남양주,오남읍,99 ,31 ,738 ,737 ,1 ,0 ,2 ,2019011410 ,,,1 ,1 ,201901152104 ,,
경기,남양주,별내동,100 ,31 ,744 ,741 ,1 ,0 ,2 ,2019011409 ,,,1 ,1 ,201901151801 ,,
경기,남양주,화도읍,99 ,31 ,744 ,739 ,1 ,0 ,2 ,2019012309 ,,,1 ,1 ,201901152003 ,,
경기,용인,김량장동,100 ,31 ,744 ,741 ,1 ,0 ,1 ,2019012310 ,,,1 ,1 ,201901140411 ,,
경기,용인,수지,100 ,31 ,744 ,741 ,1 ,0 ,2 ,2019011409 ,,,1 ,2 ,201901140512 ,,
경기,용인,기흥,88 ,27 ,661 ,654 ,1 ,0 ,2 ,2019012312 ,,,1 ,1 ,201901140108 ,,
경기,김포,사우동,100 ,31 ,744 ,742 ,1 ,0 ,2 ,2019012310 ,,,0 ,2 ,201901230310 ,,
경기,김포,고촌읍,99 ,31 ,744 ,740 ,0 ,0 ,1 ,2019011909 ,,,0 ,1 ,201901152205 ,,
경기,김포,통진읍,99 ,31 ,744 ,739 ,1 ,0 ,2 ,2019012309 ,,,0 ,2 ,201901230310 ,,
경기,오산,오산동,99 ,31 ,744 ,738 ,1 ,0 ,2 ,2019010809 ,,,1 ,1 ,201901151902 ,,
경기,하남,신장동,99 ,31 ,738 ,736 ,1 ,0 ,2 ,2019011410 ,,,1 ,2 ,201901141623 ,,
경기,화성,남양읍,99 ,31 ,744 ,738 ,1 ,0 ,2 ,2019010410 ,,,0 ,1 ,201901151801 ,,
경기,화성,향남,99 ,31 ,738 ,736 ,1 ,0 ,2 ,2019012310 ,,,1 ,1 ,201901151902 ,,
경기,화성,동탄동,99 ,31 ,744 ,738 ,1 ,0 ,1 ,2019010310 ,,,0 ,1 ,201901052003 ,,
